,Day,Consumer_Code,Hour_1_Consumption,Hour_2_Consumption,Hour_3_Consumption,Hour_4_Consumption,Hour_5_Consumption,Hour_6_Consumption,Hour_7_Consumption,Hour_8_Consumption,Hour_9_Consumption,Hour_10_Consumption,Hour_11_Consumption,Hour_12_Consumption,Hour_13_Consumption,Hour_14_Consumption,Hour_15_Consumption,Hour_16_Consumption,Hour_17_Consumption,Hour_18_Consumption,Hour_19_Consumption,Hour_20_Consumption,Hour_21_Consumption,Hour_22_Consumption,Hour_23_Consumption,Hour_24_Consumption,DayConsumption,DayConsumption_Annual
0,2013-10-19,Klant 81,0.0,0.014714308,0.0,0.013897719,0.0,0.01268071,0.013192115,0.0,0.014318862,0.0,0.46357384,0.44847297,0.045820338,0.013757338,0.0,0.012930885,0.045820338,0.39202352,0.99384909,0.91277703,0.60176532,0.081347644,0.029343227,0.019819305,4.130104558999999,1.34083638655
231,2013-07-20,Klant 81,0.0,0.0,0.015164746,0.0,0.014318862,0.0,0.0,0.01377684,0.0,0.014714308,0.0,0.0,0.014318862,0.0,0.01405516,0.0,0.0,0.013757338,0.0,0.014864454,0.0,0.0,0.014178481,0.0,0.129149051,1.34083638655
364,2013-01-12,Klant 81,0.33761388,0.49197372,0.36358485,0.46134297,0.4763196,0.33220922,0.47066303,0.38810871,0.53141592,0.47139764,0.58070051,0.51681366,0.66707184,0.46942392,0.43836121,0.62068347,0.43348776,0.29404802,0.3453998,0.35245782,0.27741246,0.6625045,0.44742293,0.74050614,11.17092358,1.34083638655
407,2013-06-07,Klant 81,0.0,0.01363768,0.0,0.013897719,0.0,0.01280027,0.027247275,0.0,0.0,0.013757338,0.025151323,0.0,0.0,0.013757338,0.01923343,0.0,0.0,0.01363768,0.0,0.66733128,0.0,0.0,0.01405516,0.0,0.834506493,1.34083638655
408,2013-07-27,Klant 81,0.0,0.0,0.015164746,0.0,0.0,0.01363768,0.0,0.0,0.015314892,0.0,0.28591181,0.0,0.51199206,0.0,0.0,0.013897719,0.0,0.0,0.015164746,0.0,0.7577784,0.0,0.021206061,0.0,1.650068114,1.34083638655
654,2013-08-03,Klant 81,0.0,0.0,0.0,0.014864454,0.0,0.0,0.016151112,0.0,0.0,0.014714308,0.43324455,0.0,0.0,0.0,0.015164746,0.0,0.024528858,0.0,0.0,0.015831288,0.54673122,0.063642572,0.0,0.013897719,1.158770827,1.34083638655
663,2013-10-04,Klant 81,0.01319829,0.0,0.013192115,0.0,0.01319829,0.01280027,0.0,0.01377684,0.3978153,0.0,0.013192115,0.039638709,0.59566368,0.0,0.012082529,0.0,0.28251756,0.0,0.0,0.011843271,0.01332273,0.0,0.014178481,0.4751802,1.92160038,1.34083638655
677,2013-07-07,Klant 81,0.014318862,0.0,0.01405516,0.0,0.014318862,0.0,0.0,0.013897719,0.0,0.01268071,0.0,0.013897719,0.0,0.0,0.01405516,0.0,0.0,0.014714308,0.0,0.0,0.014318862,0.0,0.0,0.014864454,0.141121816,1.34083638655
689,2013-01-21,Klant 81,0.47426532,0.0,0.0,0.013897719,0.014256642,0.0,0.013130505,0.026707725,0.01326051,0.0,0.014178481,0.96027129,1.2321702,0.96432882,0.97467727,0.86522238,0.83335734,0.77812588,0.74640414,1.0226304,0.81499122,0.84966392,0.95649121,0.6088401,12.176871072,1.34083638655
790,2013-08-27,Klant 81,0.01319829,0.0,0.0,0.013897719,0.0,0.014714308,0.0,0.1821204,0.31115508,0.0,0.26963768,0.003021242,0.0,0.0,0.015041526,0.0,0.044948748,0.0,0.099002725,0.19601802,0.0,0.011723642,0.0,0.0,1.17447938,1.34083638655
800,2013-04-09,Klant 81,0.1194063,0.0,0.015164746,0.0,0.01319829,0.013757338,0.0,0.012810105,0.83335734,0.27837684,0.050426068,0.000966796,0.014318862,0.027514676,0.0,0.01377684,0.22748244,0.7850045,0.0,0.0583704,0.26421366,0.39202352,0.29392616,0.27118674,3.685281621,1.34083638655
825,2013-01-19,Klant 81,0.71911734,0.9917796,0.93725879,0.57717792,0.90980736,0.59784508,0.89786677,0.73657881,0.66196674,1.0858106,0.93528525,0.76824099,0.80783184,0.81239942,0.64746252,0.83452743,0.98227326,0.5801404,0.4121002,0.047493864,0.51616284,0.4625453,0.52922687,0.18417465,16.635073843999997,1.34083638655
952,2013-11-23,Klant 81,0.45695796,0.51057608,0.61805738,0.39904524,0.44973636,0.37144744,0.42621697,0.35844039,0.0,0.011723642,0.0,0.67808763,0.0,0.15192842,0.0667004,0.011843271,0.0,0.1949955,0.54950767,0.44351802,0.66912612,0.47133786,0.51104081,0.13668138,7.486968543,1.34083638655
1058,2013-02-12,Klant 81,0.015314892,0.0,0.013192115,0.01377684,0.0,0.0118433,0.013068895,0.18018693,0.81804204,0.22250998,0.0,0.01377684,0.01332273,0.40661866,0.69388212,0.69996069,0.91491246,0.38903354,0.65751101,0.41886504,0.41611818,0.27239492,0.44347787,0.053415549,6.681224601,1.34083638655
1130,2013-10-20,Klant 81,0.0,0.01363768,0.0,0.013897719,0.0,0.013757338,0.013068895,0.0,0.3927102,0.0,0.012082529,0.0,0.58445796,0.0,0.01220585,0.0,0.01419432,0.49107702,0.011096163,0.0,0.01319829,0.29105706,0.05967282,0.045439416,1.98155326,1.34083638655
1328,2013-03-20,Klant 81,0.33145002,0.016628444,0.014178481,0.0,0.014318862,0.0,0.013068895,0.012930885,0.40080288,0.0,0.013192115,0.011843271,1.0392984,0.9369339,1.1726201,0.59699673,0.83634492,0.47133786,0.72827969,0.41088861,0.43043694,0.37826628,0.2727202,0.26030961,8.362847093,1.34083638655
