,LCLid,READING_DATE,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,ANNUAL_CONSUMPTION,Daily Consumption
0,MAC000635,2013-01-26,0.074,0.074,0.074,0.074,0.074,0.075,0.074,0.075,0.074,0.075,0.074,0.075,0.076,0.797,1.661,1.497,0.631,0.075,0.075,0.415,0.075,0.075,0.075,0.075,0.075,0.324,0.49,0.702,0.393,0.132,0.111,0.111,0.149,0.121,0.115,0.119,0.118,0.119,0.118,0.118,0.119,0.12,0.119,0.12,0.119,0.12,0.125,0.083,3.342345109689559,10.659
43,MAC000635,2013-11-25,0.05,0.05,0.05,0.05,0.051,0.051,0.05,0.05,0.05,0.753,1.625,1.546,0.352,0.07,0.201,0.052,0.049,0.048,0.05,0.049,0.049,0.049,0.05,0.049,0.049,0.434,0.191,0.05,0.05,0.05,0.049,0.728,0.373,0.094,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.092,0.093,0.097,0.094,0.058,0.05,0.05,3.342345109689559,8.697000000000003
351,MAC000635,2013-10-22,0.085,0.084,0.087,0.085,0.085,0.084,0.085,0.969,1.636,0.705,0.091,0.085,0.084,0.084,0.084,0.083,0.14,0.175,0.085,0.083,0.084,0.083,0.28,0.248,0.084,0.084,0.084,0.083,0.18,0.757,0.221,0.119,0.119,0.119,0.119,0.126,0.128,0.127,0.127,0.128,0.127,0.127,0.127,0.128,0.124,0.09,0.085,0.085,3.342345109689559,9.092000000000002
469,MAC000635,2013-11-12,0.049,0.05,0.05,0.05,0.05,0.051,0.05,0.051,0.05,0.333,1.599,1.5039999,0.319,0.051,0.049,0.049,0.05,0.049,0.049,0.05,0.05,0.049,0.049,0.049,0.05,0.049,0.2,0.065,0.049,0.05,0.067,0.146,0.086,0.092,0.091,0.118,0.091,0.092,0.092,0.094,0.092,0.092,0.092,0.092,0.092,0.059,0.049,0.049,3.342345109689559,6.798999900000003
476,MAC000635,2013-07-12,0.075,0.076,0.076,0.076,0.076,0.076,0.075,0.075,0.199,1.651,1.6339999,0.29,0.075,0.075,0.074,0.074,0.229,0.074,0.074,0.074,0.074,0.074,0.404,0.319,0.074,0.075,0.074,0.077,0.079,0.078,0.079,0.304,0.085,0.111,0.111,0.111,0.11,0.111,0.111,0.111,0.111,0.117,0.123,0.121,0.12,0.121,0.117,0.077,3.342345109689559,8.606999899999998
863,MAC000635,2013-12-02,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.05,0.049,0.05,0.05,0.687,1.587,1.516,0.529,0.051,0.049,0.049,0.199,0.063,0.049,0.05,0.049,0.049,0.188,0.265,0.049,0.049,0.049,0.05,0.113,0.455,0.37,0.093,0.092,0.092,0.092,0.092,0.091,0.092,0.092,0.092,0.093,0.092,0.092,0.058,0.05,0.049,3.342345109689559,8.327
1016,MAC000635,2013-04-14,0.078,0.078,0.079,0.078,0.08,0.078,0.078,0.079,0.079,0.449,1.614,1.632,0.72,0.079,0.079,0.079,0.079,0.079,0.656,0.531,0.52,0.392,0.113,0.173,0.129,0.079,0.08,0.429,0.431,0.085,0.08,0.092,0.115,0.115,0.114,0.114,0.114,0.113,0.113,0.121,0.121,0.122,0.121,0.121,0.121,0.119,0.084,0.078,3.342345109689559,11.113000000000005
1173,MAC000635,2013-03-20,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.074,0.072,0.073,1.571,1.586,1.023,0.073,0.072,0.073,0.313,0.078,0.073,0.072,0.072,0.073,0.072,0.071,0.205,0.071,0.071,0.071,0.071,0.498,0.222,0.108,0.107,0.107,0.112,0.116,0.115,0.116,0.116,0.116,0.116,0.116,0.117,0.116,0.103,0.073,3.342345109689559,8.961
1302,MAC000635,2013-03-01,0.072,0.073,0.073,0.073,0.075,0.074,0.074,0.074,0.074,0.074,0.074,0.951,1.594,1.406,0.205,0.074,0.075,0.432,0.075,0.073,0.073,0.073,0.072,0.072,0.176,0.072,0.073,0.073,0.073,0.072,0.074,0.073,0.072,0.086,0.243,0.115,0.117,0.118,0.117,0.117,0.117,0.117,0.117,0.117,0.116,0.084,0.075,0.074,3.342345109689559,8.473000000000004
1756,MAC000635,2013-04-02,0.073,0.073,0.074,0.073,0.073,0.074,0.074,0.074,0.073,1.119,1.605,1.413,0.073,0.073,0.073,0.073,0.251,0.072,0.072,0.072,0.071,0.071,0.072,0.071,0.094,0.162,0.072,0.072,0.073,0.43,0.408,0.154,0.108,0.108,0.108,0.108,0.108,0.107,0.115,0.116,0.116,0.117,0.118,0.083,0.075,0.074,0.074,0.076,3.342345109689559,8.918000000000001
