Step;NICE - MMD;VAE - MMD;WGAN-GP - MMD;FCPFLOW - MMD
1;;0.340961752339094;;
10;;0.31713711305715186;;
11;;0.31249892044709404;;
14;;;0.26630802288467426;
43;;;;0.08264602128683873
49;;0.25254876319743746;;
52;;;0.1578472775937596;
58;;;;0.06412246155336576
93;;0.2548456162487729;;
105;0.06969306117086649;;;
114;;0.2471452887833363;;
122;;;;0.0857357127212377
140;;;;0.0812797896909967
146;;;0.3336468238072905;0.092823532770125
147;;;;0.09065339178250609
151;;;0.3613926305526425;
155;;;0.3346397466487401;
164;;0.24735688719710502;;
166;0.05696102637568734;;;
167;0.06188111940653296;;;
170;;;0.23718854172724446;
178;;0.2512263428734127;;
185;0.05815503008095191;0.2487635885497479;;
206;;;;0.1081679854257882
209;;;;0.08799622387565376
216;;;0.4442795709438525;
218;;;0.4395101724189472;
219;;;0.39480823652233976;
221;;;0.3624703554184262;
227;;;;0.09993407434954338
228;0.0575788861706239;;;
236;;;;0.11693504970770086
240;0.05805042152390816;;;
246;;;;0.10769930167312913
251;0.05193774585171462;;;
262;0.05460595884492736;;;
264;;0.24894898202316296;;
265;;0.24905046504531514;;
268;;0.2500995571417246;;
270;;;;0.11045066986204577
290;;;0.24265109676410213;
297;;;;0.10760475452675355
302;;;0.24863396534504711;
304;;0.2503739015888842;;
324;;;0.33902452457714105;
337;;;0.39386154753914326;
338;0.0537584807963688;;;
340;;;0.4338226511879363;
355;;;;0.10966340620125203
359;;0.2473500021823427;;
388;;;0.3073417704452457;
398;;;;0.12727314860758576
400;;0.2460840760115206;;
403;0.05541616646221037;;;
404;;0.24509193168172017;;
405;0.05269455129816958;;;
415;;;0.3331401345296472;
421;;0.24708345503359275;;
433;0.054589112013600616;;;
443;;;0.34205974466251354;
451;;;0.45909652746824603;
455;;;0.5075014805530508;
469;0.05012782480089362;;;
473;0.05043466805932828;;;
477;0.050543686981225355;;;
481;;;;0.11533582755198024
482;;;;0.11594006270732327
493;;;;0.12208694400839404
501;;0.252051665926452;;
529;;;;0.12276472202842337
540;;0.25374463633533106;;
552;;;0.6712505001930931;0.12961587253630347
566;;0.2451605406228039;;
589;0.05330609622811078;;;
593;0.054053342560965056;;;
597;0.0552152076896395;;;
612;;;;0.1440039789697971
628;;0.24953733877426876;;
629;0.05275071654188146;;;
645;;;0.5038547430589989;
658;0.05175841552886973;;;
661;0.05603767208403099;;;
671;;0.24745703849879153;;
692;;;;0.1378441869205378
698;0.05405999931353933;;;
702;;;0.4157194550293697;
703;;;0.42929844370810955;
708;;;;0.12686614958795595
709;;0.24975363384691507;;
716;;;;0.13793233200864496
729;0.054421543724550325;;;
739;0.05552759138498675;;;
743;;;;0.12319635696602926
749;;;;0.1456580649889423
756;;;;0.12642433637953898
764;;;;0.11333947900289876
778;;;;0.13903978156614638
780;;;0.4331439023050967;
782;;0.24963038089861622;;
790;0.05343040014153655;;;
793;;;0.5963922270398261;
794;;;0.5938427208797477;
812;;;0.54726832419232;
815;;;;0.1301555251031592
822;;0.25053389510883495;;
823;;;;0.13092011720718366
828;;;0.31537041895846896;
832;0.0518837732438282;;;
840;;;0.2769700518018643;
843;0.05048899788660388;;;
845;;;0.29689757331592026;
856;;0.24973876914331106;;
860;;0.2507693607298678;;
869;;0.2492583705292719;;
896;0.05386034650240146;;;
906;;;0.48951003367955315;
910;;;0.5156523147310806;
911;;;0.529512114905838;
916;0.05411549674830296;;;
924;;;0.40912081342373896;
934;0.051938752706251146;;;
936;0.06088864182694287;;;
944;0.052934781246511964;;;
945;;0.251584927735226;;
946;0.05186125016818066;;;
954;;0.2536879874247404;;
964;;;;0.1330901648236713
966;;;;0.15135027242926746
991;;;;0.11799035242285516
992;;;0.49363565662629494;
995;;0.25118247465547716;;
1005;;;;0.13408784564042997
1013;;0.25079874379398936;;
1017;;;;0.13704050186627925
1018;;;;0.14252516288525752
1025;;;;0.14475086657990577
1029;;;;0.12822462628421483
1032;;;;0.12965196480931263
1055;;;0.4319257820796697;
1078;;;0.495085422658775;
1080;0.05650213764912371;;;
1086;0.05810219071467282;;;
1094;;;;0.13829859415095447
1100;;;0.2621302131173484;
1104;;0.25024255379377935;;
1108;;0.2536805945038412;;
1114;0.056269310215783075;;;
1121;;;0.4422918021408987;
1122;;;;0.13992295181226222
1123;;;0.4343452090935389;
1137;;;;0.14467409800445363
1140;;0.2539380124935475;;
1154;;0.2469530243250848;;
1158;;0.24853895957262306;;
1160;;0.2479805031465856;;
1174;;0.2487719362087124;;
1187;;0.24732141295546617;;
1188;;;;0.13789517125860784
1191;;;;0.12327344968862342
1200;;0.24821145214409812;;
1219;;;0.2801905300653331;
1228;0.058421924958134475;;;
1242;;0.24899661720395816;;
1247;;;0.6285272886925768;
1250;;0.2469579095338863;;
1255;;0.24624965421984935;;
1259;;0.2475103752618053;;
1268;;;;0.1445560082392705
1280;;;0.37464359825843874;
1286;0.05835717518658301;;;
1309;;0.246746376108953;;
1311;0.05575170740666191;;;
1313;;;0.3029476920087062;
1323;;0.2459119133911516;;
1334;0.05608001247084393;;;
1355;;;;0.13943818532151786
1356;0.05421403111049106;;;
1367;;0.24349734430642034;;
1383;;;0.2688942767376574;
1393;0.054585991510661125;;;
1396;0.05227996001758484;;;
1404;;;;0.12146662559261201
1410;0.052872278109610704;0.24953049398652638;;
1422;;;;0.150496337858522
1425;;0.248696640674962;;
1429;;;;0.12231941150398584
1431;;;0.5195475071308064;
1435;;;0.4986644032638533;
1436;0.05045480462283691;;;
1439;;;;0.1408580141335425
1457;;0.24558518191622514;;
1479;;;;0.13130625298624987
1480;0.06037684002316024;;;
1508;;;;0.1297913146056886
1509;;0.2524643011291694;;
1517;;0.24649272982360992;;
1539;;;;0.1481887100419872
1541;;;;0.13661775418615751
1560;;0.2492748747818596;;
1561;0.051856156024696176;;;
1569;;0.2492196396738635;;
1574;;0.24856088277726407;;
1582;;0.24937379724564135;;
1592;0.0531381864876207;;;
1598;;0.2470810504940677;;
1599;0.056759667382422;;;
1607;;;;0.14773261168352336
1608;;0.24850638487677013;;0.13639115184395756
1637;;;0.3992290278157683;
1641;;0.24493216012867913;;
1649;0.05171138800681052;;;
1656;0.05044248600180279;;;
1669;0.05408390648268102;;;
1670;0.054394973913054034;;;
1679;0.05270215019037594;;;
1683;;0.24845613521435173;;
1687;;;;0.13563660068433347
1701;;;0.3155724704813021;
1702;;;0.2997830784832677;
1707;;0.250335908172985;;
1713;0.05453840580378633;;;
1716;;;;0.13477499841562923
1728;;;;0.13929340674497337
1748;;;0.18508298942593226;
1750;;0.24756545073577896;;
1755;;0.24807023646698156;;
1778;;;;0.126355416521716
1789;;0.2475108113054778;;
1792;0.057482308525754644;;;
1812;;;;0.13129533604964982
1813;;;0.2460772359604868;
1814;0.05624384101844293;;;0.14006741145960122
1819;;;;0.13909889834235245
1833;;0.2431672089562793;;
1837;;;0.14492326453345006;
1856;;0.25002475759197296;;
1857;;;;0.14361793083209728
1870;;;0.33120071841678955;
1884;;0.24370060578747976;;
1889;;0.244922215151536;;
1890;0.05266802428871764;;;
1897;0.053428566582987336;;;
1900;;0.2389791700926751;;
1901;0.05741755463948861;;;
1905;;;0.30433711049246426;
1916;0.05167796110560152;;;
1918;0.05594903960457265;;;
1924;0.05160873694346857;;;
1926;;;;0.14502686167107948
1930;;;0.2557378845944618;
1932;;;;0.12313815959235885
1951;;;;0.12806621225844816
1960;;;;0.1646269637787392
1962;;0.24918810731114238;;
1967;;;0.40989358522661157;
1985;;0.24627527127647086;;0.13690629412292088
2000;0.052088776210976184;;;
2010;;0.24828959282780416;;
2019;;0.24817747783765487;;
2027;;;0.19504117674658472;
2031;;0.24722137130701882;;
2032;;;;0.13566342310733903
2049;0.05403246825603403;;;
2055;;;0.12699344470846097;
2062;;;0.13484965011266037;
2069;;0.2449365734572011;;
2070;0.05621114065112465;;;
2101;;;;0.11992477398396484
2103;;;0.18829297158298364;
2111;;0.2534651522813398;;
2116;;;0.23471403299346094;
2123;0.05144688257846919;;;
