"Step","NICE - time","NICE - time__MIN","NICE - time__MAX","VAE - time","VAE - time__MIN","VAE - time__MAX","WGAN-GP - time","WGAN-GP - time__MIN","WGAN-GP - time__MAX","FCPFLOW - time","FCPFLOW - time__MIN","FCPFLOW - time__MAX"
"2","","","","","","","0.27591729164123535","0.27591729164123535","0.27591729164123535","","",""
"5","","","","","","","0.41440701484680176","0.41440701484680176","0.41440701484680176","","",""
"7","","","","","","","","","","0.8855881690979004","0.8855881690979004","0.8855881690979004"
"9","","","","0.34609413146972656","0.34609413146972656","0.34609413146972656","","","","","",""
"16","","","","","","","","","","1.652622938156128","1.652622938156128","1.652622938156128"
"17","","","","","","","","","","1.7373394966125488","1.7373394966125488","1.7373394966125488"
"66","4.668777227401733","4.668777227401733","4.668777227401733","","","","","","","","",""
"85","","","","","","","4.189880609512329","4.189880609512329","4.189880609512329","","",""
"98","","","","2.5761563777923584","2.5761563777923584","2.5761563777923584","","","","","",""
"105","","","","","","","5.147687196731567","5.147687196731567","5.147687196731567","","",""
"112","7.968292713165283","7.968292713165283","7.968292713165283","2.956425189971924","2.956425189971924","2.956425189971924","","","","","",""
"131","9.147838354110718","9.147838354110718","9.147838354110718","","","","","","","","",""
"133","9.254282236099243","9.254282236099243","9.254282236099243","","","","","","","","",""
"169","11.177601099014282","11.177601099014282","11.177601099014282","","","","","","","","",""
"175","11.495182275772095","11.495182275772095","11.495182275772095","","","","","","","","",""
"176","","","","4.7156877517700195","4.7156877517700195","4.7156877517700195","","","","","",""
"187","","","","4.9700541496276855","4.9700541496276855","4.9700541496276855","","","","","",""
"194","12.51134991645813","12.51134991645813","12.51134991645813","","","","","","","","",""
"200","","","","5.270896911621094","5.270896911621094","5.270896911621094","","","","","",""
"227","15.136929988861084","15.136929988861084","15.136929988861084","","","","","","","","",""
"229","15.243924856185913","15.243924856185913","15.243924856185913","5.94374680519104","5.94374680519104","5.94374680519104","","","","","",""
"232","","","","","","","11.22913908958435","11.22913908958435","11.22913908958435","","",""
"244","","","","","","","11.786543846130371","11.786543846130371","11.786543846130371","","",""
"248","","","","","","","11.974587678909302","11.974587678909302","11.974587678909302","","",""
"250","","","","6.437876462936401","6.437876462936401","6.437876462936401","12.068615913391113","12.068615913391113","12.068615913391113","","",""
"258","","","","","","","12.443807125091553","12.443807125091553","12.443807125091553","","",""
"262","17.016728162765503","17.016728162765503","17.016728162765503","","","","","","","","",""
"266","","","","","","","","","","24.948875427246094","24.948875427246094","24.948875427246094"
"269","","","","","","","","","","25.22616672515869","25.22616672515869","25.22616672515869"
"271","17.49848175048828","17.49848175048828","17.49848175048828","","","","","","","","",""
"277","","","","","","","","","","25.961190462112427","25.961190462112427","25.961190462112427"
"278","","","","","","","13.387743711471558","13.387743711471558","13.387743711471558","","",""
"282","","","","","","","","","","26.43117046356201","26.43117046356201","26.43117046356201"
"301","","","","7.621251106262207","7.621251106262207","7.621251106262207","","","","","",""
"308","","","","","","","","","","28.85815143585205","28.85815143585205","28.85815143585205"
"331","21.721842765808105","21.721842765808105","21.721842765808105","","","","","","","","",""
"342","22.31944489479065","22.31944489479065","22.31944489479065","","","","","","","","",""
"350","","","","8.773688793182373","8.773688793182373","8.773688793182373","","","","","",""
"364","","","","9.103471517562866","9.103471517562866","9.103471517562866","","","","","",""
"380","","","","9.475533485412598","9.475533485412598","9.475533485412598","","","","","",""
"384","","","","","","","","","","35.94013452529907","35.94013452529907","35.94013452529907"
"385","","","","9.59324026107788","9.59324026107788","9.59324026107788","","","","","",""
"386","","","","","","","","","","36.125601291656494","36.125601291656494","36.125601291656494"
"397","25.24457621574402","25.24457621574402","25.24457621574402","9.870805025100708","9.870805025100708","9.870805025100708","","","","","",""
"404","","","","","","","","","","37.93581581115723","37.93581581115723","37.93581581115723"
"413","","","","","","","","","","38.78013348579407","38.78013348579407","38.78013348579407"
"419","27.345239877700806","27.345239877700806","27.345239877700806","","","","","","","","",""
"423","","","","","","","","","","39.71838617324829","39.71838617324829","39.71838617324829"
"433","","","","","","","","","","40.683586835861206","40.683586835861206","40.683586835861206"
"445","29.06762671470642","29.06762671470642","29.06762671470642","","","","","","","","",""
"448","","","","","","","","","","42.06038236618042","42.06038236618042","42.06038236618042"
"462","","","","","","","","","","43.34420680999756","43.34420680999756","43.34420680999756"
"463","","","","11.41488242149353","11.41488242149353","11.41488242149353","","","","","",""
"493","","","","12.112720727920532","12.112720727920532","12.112720727920532","","","","","",""
"495","31.747775554656982","31.747775554656982","31.747775554656982","","","","","","","","",""
"509","33.32497239112854","33.32497239112854","33.32497239112854","","","","","","","","",""
"513","","","","12.576385974884033","12.576385974884033","12.576385974884033","","","","","",""
"516","","","","","","","24.772735834121704","24.772735834121704","24.772735834121704","","",""
