Step;100 - MMD;60 - MMD;30 - MMD;10 - MMD
1;;0.052181304032439424;;
5;;;;0.05384380913995904
7;;0.04828234044276719;0.05047373040349995;
12;;;;0.052097227773238525
16;;0.043614203715364785;;
20;;0.0386026433649963;;
22;;;;0.037266063527351734
23;;0.03259105996526562;;
28;;;;0.03826003296605404
31;;0.03490717141267713;;
33;;;;0.03605424680552999
35;;;;0.04096746547680846
36;0.025211164437237144;;;
38;;0.028574924137491242;;
39;0.028615220095128846;;;
40;;;0.027958292534711215;
42;;;;0.036755635903831796
45;;0.024780087393904193;0.02286689391450869;
46;;;;0.034125023289544476
48;;;;0.03333771420088466
49;;0.02456017230716162;;
53;;0.025245473375640204;;
54;0.02182103238740546;;;0.03279547158484375
66;;;0.023235871848022116;
67;0.024746713199073622;;;
70;0.020711659536184313;;;
81;;0.020847898093276473;;
83;;0.02348826562678752;0.02636128438005131;
85;;;0.023429923230007532;
87;0.021880366323686007;;;
91;0.02582221701632814;;;
92;;;0.025376304381769965;
95;;0.023302863294991594;;
97;;;;0.031296406532459686
104;;0.02688116644901284;;
106;;;;0.032215405391477325
108;;;0.02680469166372057;0.036890659560918415
109;;0.021454122507686524;;
111;;;;0.03591236520161911
113;;;;0.034455732682565576
116;;;;0.03515080983888952
118;;0.021557230290992713;;
119;;0.023733682711020332;0.026974321798989398;
123;0.022641674728104133;;0.02662294449718766;
135;0.02443347802146839;;;
141;;;;0.03423515437670349
145;0.02218473796679088;;0.02641619700100828;
146;0.02386832662799604;0.020232856380094477;;
150;0.02029922704567194;;0.027449191075334778;
156;;;;0.03210506758018278
160;0.021704869597800325;;;
161;;;;0.035653376928118374
165;;;0.0291600773325299;
173;;0.02162727727496183;;
174;;;;0.033980097609860094
175;;0.02133787458136238;;
176;;;0.026066753679984955;
187;0.022764777232066824;;;
188;;;;0.036239590860612736
189;0.02329426317164185;;;
191;;;0.027213452676933536;
195;0.02185132392384731;;;
202;;0.024910161602106462;0.02371784842442093;
203;;;0.02766572000289852;
206;;0.023569477265434347;;
209;0.022224622972470465;;0.029122720290436777;
210;;;0.025697136821270394;
214;0.024083456125698954;;;
217;;;0.02964423023802132;0.03495250779120035
222;;;;0.03474429646774385
224;;;0.02582160283681334;
226;;;;0.030974668322127585
230;;;0.02707418127311606;
233;;0.02536309697528516;;
236;0.023697924817783544;;;
241;;;;0.03347130990162972
250;;;;0.03497831925961625
254;;0.025238993166946222;;
255;0.022710529290592918;;;
262;;0.025594286029942903;;
264;;;;0.03239575811971318
265;;;;0.03416637125812266
268;;0.024760201636068735;;
270;0.023446841971964394;;;
272;;;;0.032625120814988307
273;;;;0.03434757021809537
274;;0.022763755587689227;;
277;0.023227331712529775;;0.026073426588422155;
278;;;;0.037684463444352
284;;0.023435149884105444;;
289;;;;0.035642612094572035
290;;;;0.03412608838716602
291;;;0.02962867715789408;
292;;;;0.036628392935053655
295;;;;0.03466799964387862
297;;;0.02734981219961069;
301;;;0.02682779277468733;
303;;0.024346979981816785;;
305;0.022593386025717366;;;
313;;0.024552373522456594;;
316;;0.0232630314817881;;
317;;;;0.03254013392651983
320;;;0.02707834505617357;
322;0.0238196311161476;;;
324;;;0.029547629882733684;
325;;0.023146438500654065;;
334;;0.024895726146520247;;
336;0.021163422226344986;;;
338;;0.025533788484748077;;
339;0.024597051937751302;;;
341;;;0.025168763560316665;
343;;0.020727424640216707;;
346;0.0223314034355509;;;
347;;;0.026842916901444136;
349;;0.025515138495631973;;
355;;0.022071331898288304;;
360;;0.024803608453007275;;0.03527772859837425
362;;0.023456303662362787;;
366;;;0.028763232565036767;
374;;;0.02817875306407569;0.03283390034820588
377;;;0.0281959197970717;
379;;0.023571447529524336;;
380;;;0.026571538759779745;
381;;;;0.036077379785533936
384;;;;0.0314786234644166
390;0.023461116334550336;;;
395;;;0.028659541783718767;
396;0.022051560105678214;;;
398;;;;0.03230894354726521
399;0.022075770439606013;;0.028066337930251817;
400;;;0.024415424560809307;
402;;;;0.034140984560542986
403;;;0.025785492761485285;0.032550555896816935
404;;;;0.03349273545559489
406;;0.02349923648616742;;
410;;0.023731820191481012;;
413;0.02267231324452329;;0.026038018086009584;
414;;0.024543081484941498;;
415;0.021063191253635927;;;
417;;0.024482252404057714;;
429;0.023945771082237166;;;
430;;0.023602152031532042;;
437;;;;0.0325207958080137
438;;;0.02457465542445708;0.032866584450759684
439;;0.02485902814156371;;
440;;;;0.031102672400182385
441;;;0.029686313734133718;
442;;0.022665409046255858;0.026455466624428214;
443;0.021972497223213816;;;
447;;;0.027402146732206423;
457;;;0.026838221494056902;
458;;;0.028102786477139652;
460;;0.023246812433587172;;
461;;;0.025835270876644723;
465;0.023818922847880564;;;
469;0.021705509762112163;;;
470;0.021800481725931298;;;
477;;0.022970083191821034;;0.033795675161873595
478;0.0224130943514233;;;
482;;;0.029543236838222353;
483;;0.02549052659105555;;
485;0.022751157874518535;;;
486;;0.024698124472302185;;
492;;0.024232206164212622;;
493;0.024944969258072047;;;
494;0.02213278237166244;0.025158784966608894;;
498;;;0.0236521174333042;
500;;;;0.03341266493564948
502;;;0.02646491305781712;
507;;;;0.03135519764537348
508;0.021882722033380042;;0.02849532200953747;
512;0.02428007272585181;0.02481321336325998;;
517;;;0.025669396637445552;
520;;0.02514238471888025;0.029392429006151133;
521;;;0.02634858002382784;
525;;;;0.03178834294673677
534;0.02364389803315775;;;
535;;0.023638849998749267;;
536;0.022178288089190756;;;
538;;;;0.03119152436285849
540;;0.02198570253254606;;
541;;;0.027769838219677045;
547;0.023669305726688905;;;
548;;0.022369492091575238;0.026502816929387663;0.030646674068653956
549;;;0.025820077040935696;
556;;;;0.031108884236617118
561;;;0.025507378379923895;
569;0.024219056909081604;;;
573;0.023348019930646058;;;
577;0.023095408478187307;0.02302536688939344;;
582;;;0.026669591151993632;
586;;;0.024996001564265735;
588;;;0.027146288261013618;0.03435373918301082
590;0.02263497289297628;;;
601;;;;0.03193780040742972
603;;;0.02624446929436597;
604;0.02351829850064424;;;
605;;0.025119633455030654;;
606;0.022787145330527225;;;
611;;;;0.030255767020875013
612;;;0.026706200770787114;
615;;0.022803047928080133;;
618;0.02351946047679515;0.02416782060932665;;
622;;0.02547103531415873;;
623;;;0.028699378968861933;0.03227355182124275
625;;0.02412863955887079;;
629;;0.025505424886713812;;
632;;;0.02733014217373253;
633;;;;0.032727408931731594
634;;;;0.03033498514048938
636;0.022831351325099003;;;
639;;;;0.03189001159166871
645;0.02214284508223824;;;
652;;;0.02612550001367525;
657;;0.024282207482662965;0.02665082218250625;
658;;;;0.029747980526384832
659;;0.02475307630507617;;
665;0.022865874738802527;;;
667;;;0.027673257746570423;
668;;0.024045135214552815;;
679;;0.023253658955242007;;0.03211346243949109
682;;0.02504533811005144;;
683;0.022951058376616706;;;
687;0.02251768415414873;;;0.030821986686487002
692;;0.02309819716713224;;0.03402313871737567
693;;0.023859236786812565;;
699;;0.021687379452830557;0.02554227313673052;
700;;;;0.03259882277411652
705;0.023494440506161784;;;
712;;0.023067497015962224;;
713;;0.023229834749619094;;
719;;;;0.031807059505075286
721;;;;0.03176674284593661
722;;0.02383421730766111;;
728;;0.0241310400358154;;
731;;0.024590510114115116;;
733;0.021982402240773524;0.024150576234794108;;
734;0.021461354543682976;;;
735;;0.023468316500261877;;
736;;;;0.031455093057726924
740;;0.025225465749239784;;
742;0.020877206810029414;;;
744;;0.024964280748067003;;
745;0.02267042231395283;;;
748;0.024225784326050714;;;
749;;;;0.02964635701757834
750;;;0.027352490220550696;
755;;;0.026068021519928486;
757;0.025556405358586;;;
758;0.02287825367874219;0.024161801458215004;;
765;;0.02467923234689634;0.02538239502877193;
768;;0.024729014523190207;;
773;;;0.02725795147196991;
775;0.022455039611538496;0.027316589349737408;;0.03203015408000959
776;;;;0.03439274944634996
782;0.02345738455931118;;;
783;;;;0.030079841175416344
784;;0.025994479558145323;;
785;;;;0.032254256754460364
788;;0.026090904320867303;;
789;0.020860625088548135;;;
791;;;0.023542289370364067;
796;;0.023075129786717108;;
797;;;;0.029482223896100723
801;0.025771961981119085;;;
808;;;0.027926759958212977;
810;;0.025692143541647172;0.02627784259387861;
811;;;;0.030707502919931517
816;;;0.02743185495482331;
822;;;0.025387185119256417;
823;;;0.027551356627845025;
825;0.02247866340543664;;;
834;;;;0.030761040549288465
838;0.026590629487416972;;;0.029940434046552167
842;;;0.02408854826148077;
843;0.02314539898077017;;;
844;;;;0.0283639392373356
846;;0.024705774859022478;;0.03256878235279825
851;;;0.02357252525299225;
858;0.024372755907313415;0.02707479446788774;;
859;;;;0.03290206042495919
863;0.02205687482657409;;;
865;0.022452170797020332;;;
871;0.024394034918486796;;;0.030908342868632255
872;;;0.025516352525817187;
874;;;0.024875786914763887;
877;;0.024036494058240987;;
882;0.024621595976640542;;;
884;;;;0.03313856682592775
886;;;0.024864428957614426;
889;0.02377835503374509;;;
890;0.022295493844725123;;;
894;0.024215511406664503;;;
898;;0.025071163162850463;;
899;;;0.026657030422832795;
900;;0.027178690993495624;;
913;0.02232132509178647;;;
919;0.026233103260591417;;;
920;0.025488475263009625;;;
926;0.024210610930203158;;;
929;;;;0.029731556940928938
932;;;0.026424848472836604;
940;;;0.02634362432794013;
941;;;0.025169865273502012;
944;;0.025259373918136707;;
949;;;0.028286470839865185;
950;;;0.026702406643241083;
951;;0.026340871078610606;;
952;;0.023193580223615062;;
955;0.026612565279774403;;;
957;0.022154944405316457;;0.025552504292657652;
961;;;;0.03196686794209175
962;;0.02411852800535369;0.02889635861424822;
964;;;;0.03130224434609197
966;0.024245770722230553;;;
967;;;0.024232958776560787;
970;0.02411303470722681;;;
971;;;0.026284765639082608;0.029097917049090316
974;;;;0.027718275105795054
977;0.025149482839275983;;;0.03031438755065241
978;;0.0225850628002911;;0.029037835701503922
985;;;;0.031014192131308682
987;0.021688683932884922;;;
991;0.023939977783222655;;;
1011;0.02281320773007467;;;
1013;;0.025501653475980435;;0.028108885733179267
1017;0.0230386872194;;;
1018;;0.02225176181258831;;
1022;0.02380318594137032;;;
1024;;0.022105674077975035;;
1025;;;;0.029947572898288644
1026;0.020863088555424292;;;
1027;0.023400066278518206;;;
1029;0.023566932385401695;;0.026312408108089214;
1035;;;0.026512715736472514;
1039;;;;0.029355550374943307
1043;;;;0.03108372772393314
1044;;;;0.028377718005897556
1045;;;0.02550843145360332;0.032323003241868986
1049;0.021098070187561768;;;
1060;;;0.026838842074379754;
1061;;;0.02718709655810092;
1062;;0.02536996299057126;;
1066;;;;0.02863961269942955
1072;;0.024113057619004064;;
1073;;0.02697103728453276;;
1074;;;;0.028344475869653274
1078;;;0.02821558726443618;
1079;;;;0.0294002771295519
1083;;;0.026018233930615642;
1084;0.023234954715129874;;;
1093;;;0.028266255256889306;
1095;0.02462636603560392;;;
1098;;;;0.030972909207537924
1107;;;;0.029569004678806965
1111;0.02088942654883502;;;
1117;;;0.026054019188769872;
1123;0.021708297439742563;0.02272640462653991;;
1124;0.024167288479063243;;;
1125;;0.023420007597608483;;
1133;;;0.02702956437182996;
1135;0.023832032236931644;;;
1139;;0.022918407288020193;;
1147;;;;0.029031159326251554
1149;;;;0.028275913462688596
1154;;;0.022676445876571028;
1157;;;0.0276388515597511;
1159;;;0.027162697183572337;
1160;0.019942030613773587;;;
1165;;0.02340148030772715;;
1169;;0.02505677511548371;;
1172;0.023992013410054525;;;
1177;;0.02181288204148729;;
1178;0.023253840582495466;;;
1180;;0.022921016483879175;;
1186;;;;0.028591603626541895
1201;;;0.02495593452973316;
1202;;;;0.02806716026933631
1203;;;0.025301828664538173;
1206;0.022185884049502447;;;
1209;;;0.027438366563538263;
1216;0.02251468202063195;0.026268843067116465;;
1235;;0.021959004473860455;;
1238;;;0.02456810658872044;
1246;;;0.02733157923419005;
1248;;0.022025788601380436;;
1251;;0.023781262125863734;0.023495748664050242;0.02838516981402256
1257;0.02328017362644258;;;
1259;0.02193359247624388;;;
1260;;;;0.030778270040906053
1263;;0.02567983608035962;;
1269;;;;0.027485677268109632
1274;;0.02346827456113787;;
1280;;0.023122554554933228;;
1282;0.023313143668923397;;;
1284;;;0.023676565690838536;
1290;;;0.02547904943129825;
1295;;;0.024837723840355486;
1296;0.021634036157451186;;;
1299;;0.022913771119721316;;
1300;;;0.02560525887016568;
1302;0.02394120375728781;;0.024800363430939998;
1303;;;;0.026347206472481732
1311;0.022958674966657655;;;
1313;;0.023340859741374176;;
1314;;0.022035248894057613;;
1319;;0.02221674212323166;;
1324;;0.02678983526658718;;
1328;;;;0.02901877523416896
1332;;;0.024300700103208783;
1333;;0.023104051619278587;;
1334;0.022577831125544845;;;
1336;0.02359168411600121;0.023231151006062656;;
1338;;;0.023368300522704943;
1341;0.02247865302816776;;;
1350;0.02359032811375955;;0.028316352628878216;
1352;;;;0.029143672157720846
1353;;;0.02541727095061108;
1365;;0.02538607160843559;;
1366;0.022098291965051753;;;
1369;;;;0.0317410998098584
1371;;0.02454355046991058;;
1374;;0.024379225595184906;;0.03029709819285703
1377;;0.022292108063586336;0.025909780912865943;
1385;;0.024075261862127495;;
1387;;;;0.026913790735576204
1392;;0.024750522481968074;;
1393;;0.024262515270461305;;
1394;;0.024009841182584757;;
1396;;;;0.02801423147251808
1398;;;;0.028871692759290413
1402;;;;0.028503348237294557
1404;;;0.025799210274974615;
1410;;;;0.030041225652112646
1416;;;;0.028592086776838832
1417;0.025083627299138045;;;
1421;;0.023167004267835023;;
1428;;;0.023823798561236342;
1430;;0.025170268329592238;;
1431;;;0.026704685233271963;
1438;0.022912207598021594;;;
1440;;;;0.02895204033922094
1441;0.02361583871269446;;;
1443;;;0.023596027150746657;
1445;0.023507110230719386;;;
1446;;0.02511506503332922;;
1450;0.024302408450049995;;0.02458040802697059;
1452;;0.024326278569801074;;0.02504019094142451
1454;;;;0.028815295921009065
1459;0.021996005427650456;;;
1461;;;0.025783032806596662;
1464;0.022835733173144912;;;
1466;;;0.02606121706044745;
1467;0.0223363272193548;;;
1468;0.02292538739636818;;;
1469;;0.02445736225832884;;
1470;;0.02381931812124627;0.025843785080830572;
1472;0.025394237215037863;;;
